Sr. No,Image Given,Feature Tuning,,,Sr. No,Image Given,Feature Tuning
0,Date - 31/01/2025,Test Passed,Accuracy,,,,
1,akkha masoor,TRUE,44.18,,,,
2,aloo paratha kanik,TRUE,46.65,,,,
3,aloo paratha saran,TRUE,54.5,,,,
4,batata bhaji batata,TRUE,47.59,,,,
5,batata wada chutney,TRUE,54.8,,,,
6,batata wada saran,TRUE,59.99,,,,
7,bell peppers,TRUE,17.29,,,,
8,besan,TRUE,52.31,,,,
9,bhajani thalipeeth,TRUE,60.28,,,,
10,bharit,TRUE,43.97,,,,
11,bhatura kanik,TRUE,30.48,,,,
12,bundi,TRUE,13.04,,,,
13,chole,TRUE,16.87,,,,
14,chopped kanda,TRUE,64.67,,,,
15,chopped tomato,TRUE,78.61,,,,
16,chutney idiyappam,TRUE,62.7,,,,
17,dahi wada wada,TRUE,50.97,,,,
18,dal khichdi dal,TRUE,13.97,,,,
19,dosa bhaji,TRUE,74.03,,,,
20,dosa pith,TRUE,51.1,,,,
21,ghee,TRUE,44.41,,,,
22,idiyappams,TRUE,46.31,,,,
23,idlis,TRUE,50.39,,,,
24,khichadi dahi,TRUE,44.07,,,,
25,khobra,TRUE,59.14,,,,
26,kothimbir,TRUE,57.52,,,,
27,lasuni palak paneer,TRUE,43.11,,,,
28,lemon,TRUE,55.56,,,,
29,matki,TRUE,61.45,,,,
30,medu wada wada,TRUE,50.56,,,,
31,methi mutter malai,TRUE,43.22,,,,
32,mirchi,TRUE,41.26,,,,
33,mirchi thecha,TRUE,49.56,,,,
34,misal kat,TRUE,64.91,,,,
35,mix veg kheema,TRUE,38.53,,,,
36,paneer butter masala,TRUE,39.76,,,,
37,pasta,TRUE,36.5,,,,
38,pattice,TRUE,32.69,,,,
39,patwadi rassa,TRUE,61.75,,,,
40,pavbhaji,TRUE,72.66,,,,
41,pithla,TRUE,40.97,,,,
42,plain dahi,TRUE,72.22,,,,
43,potato,TRUE,16.99,,,,
44,sabudana,TRUE,43.75,,,,
45,sabudana wada saran,TRUE,62.62,,,,
46,sambar,TRUE,51.75,,,,
47,set dosa pith,TRUE,47.16,,,,
48,shira,TRUE,56.59,,,,
49,south indian chutney,TRUE,54.88,,,,
50,stew,TRUE,48.63,,,,
51,tandoor dahi,TRUE,56.98,,,,
52,tomato,TRUE,11.36,,,,
53,upma,TRUE,55.92,,,,
54,veg cutlet,TRUE,34.54,,,,
55,veg shahi kurma,TRUE,22.89,,,,
,,,,,,,
,Average Accuracy,(55/55),47.42927273,,,,